year,month,day,hour,power
2018,1,9,12,2254.05
2018,1,9,13,2661.23
2018,1,9,14,2671.48
2018,1,9,15,2089.69
2018,1,9,16,1365.08
2018,1,9,17,1051.73
2018,1,9,18,978.76
2018,1,9,19,1344.96
2018,1,9,20,2031.06
2018,1,9,21,2221.94
2018,1,9,22,2254.58
2018,1,9,23,2954.9
2018,1,10,0,3460.02
2018,1,10,1,2935.13
2018,1,10,2,2302.26
2018,1,10,3,1627.43
2018,1,10,4,891.78
2018,1,10,5,635.93
2018,1,10,6,408.5
2018,1,10,7,201.18
2018,1,10,8,475.96
2018,1,10,9,892.55
2018,1,10,10,1154.9
2018,1,10,11,1402.51
2018,1,10,12,1765.24
2018,1,10,13,2144.8
2018,1,10,14,2160.97
2018,1,10,15,2042.97
2018,1,10,16,1424.59
2018,1,10,17,1193.05
2018,1,10,18,1110.08
2018,1,10,19,1455.18
2018,1,10,20,2180.98
2018,1,10,21,2361.87
2018,1,10,22,2883.78
2018,1,10,23,3683.21
2018,1,11,0,3197.39
2018,1,11,1,2386.45
2018,1,11,2,2183.7
2018,1,11,3,1747.73
2018,1,11,4,1524.42
2018,1,11,5,784.72
2018,1,11,6,363.47
2018,1,11,7,467.9
2018,1,11,8,676.73
2018,1,11,9,812.03
2018,1,11,10,1131.23
2018,1,11,11,1724.4
2018,1,11,12,2238.79
2018,1,11,13,2619.53
2018,1,11,14,2319.26
2018,1,11,15,2257.47
2018,1,11,16,1492.91
2018,1,11,17,1048.21
2018,1,11,18,999.27
2018,1,11,19,1450.52
2018,1,11,20,2256.42
2018,1,11,21,2219.49
2018,1,11,22,2444.66
2018,1,11,23,3282.58
2018,1,12,0,2759.27
2018,1,12,1,2458.46
2018,1,12,2,2357.98
2018,1,12,3,1835.58
2018,1,12,4,1447.21
2018,1,12,5,900.28
2018,1,12,6,584.32
2018,1,12,7,291.84
2018,1,12,8,539.64
2018,1,12,9,997.37
2018,1,12,10,1784.02
2018,1,12,11,1879.4
2018,1,12,12,2102.46
2018,1,12,13,2919.77
2018,1,12,14,2615.61
2018,1,12,15,2125.18
2018,1,12,16,1482.44
2018,1,12,17,1212.16
2018,1,12,18,1052.4
2018,1,12,19,1471.37
2018,1,12,20,2363.81
2018,1,12,21,2405.44
2018,1,12,22,2215.76
2018,1,12,23,3424.44
2018,1,13,0,3456.97
2018,1,13,1,2746.11
2018,1,13,2,2220.61
2018,1,13,3,1994.35
2018,1,13,4,1456.67
2018,1,13,5,892.94
2018,1,13,6,544.67
2018,1,13,7,366.09
2018,1,13,8,486.48
2018,1,13,9,566.47
2018,1,13,10,760.68
2018,1,13,11,1332.95
2018,1,13,12,1525.15
2018,1,13,13,1751.67
2018,1,13,14,1653.97
2018,1,13,15,1792.22
2018,1,13,16,1252.9
2018,1,13,17,1093.97
2018,1,13,18,1009.04
2018,1,13,19,1341.17
2018,1,13,20,1757.42
2018,1,13,21,1788.42
2018,1,13,22,2116.97
2018,1,13,23,3237.9
2018,1,14,0,3229.85
2018,1,14,1,2586.52
2018,1,14,2,2096.63
2018,1,14,3,1351.14
2018,1,14,4,1043.3
2018,1,14,5,677.02
2018,1,14,6,464.98
2018,1,14,7,337.07
2018,1,14,8,262.01
2018,1,14,9,413.88
2018,1,14,10,755.83
2018,1,14,11,1076.74
2018,1,14,12,1626.08
2018,1,14,13,1989.14
2018,1,14,14,1803.3
2018,1,14,15,1709.85
2018,1,14,16,1162.97
2018,1,14,17,861.64
2018,1,14,18,988.67
2018,1,14,19,1176.01
2018,1,14,20,1471.85
2018,1,14,21,1533.72
2018,1,14,22,1466.01
2018,1,14,23,2762.15
2018,1,15,0,2929.49
2018,1,15,1,2311.09
2018,1,15,2,2131.78
2018,1,15,3,1443.29
2018,1,15,4,933.97
2018,1,15,5,604.14
2018,1,15,6,410.48
2018,1,15,7,304.34
2018,1,15,8,475.47
2018,1,15,9,680.09
2018,1,15,10,790.56
2018,1,15,11,1492.55
2018,1,15,12,1998.84
2018,1,15,13,2180.87
2018,1,15,14,2152.95
2018,1,15,15,1782.03
2018,1,15,16,1199.45
2018,1,15,17,739.16
2018,1,15,18,916.66
2018,1,15,19,1486.61
2018,1,15,20,1686.97
2018,1,15,21,1518.52
2018,1,15,22,1597.7
2018,1,15,23,2934.5
2018,1,16,0,3073.64
2018,1,16,1,2296.46
2018,1,16,2,1422.07
2018,1,16,3,1176.65
2018,1,16,4,939.65
2018,1,16,5,639.08
2018,1,16,6,313.99
2018,1,16,7,234.27
2018,1,16,8,378.31
2018,1,16,9,690.19
2018,1,16,10,824.14
2018,1,16,11,1175.12
2018,1,16,12,1784.81
2018,1,16,13,2239.38
