year,month,day,hour,power
2012,1,9,7,473335.0
2012,1,9,8,574771.0
2012,1,9,9,599529.0
2012,1,9,10,748991.0
2012,1,9,11,838949.0
2012,1,9,12,871962.0
2012,1,9,13,877567.0
2012,1,9,14,917765.0
2012,1,9,15,921946.0
2012,1,9,16,912435.0
2012,1,9,17,922276.0
2012,1,9,18,953823.0
2012,1,9,19,1025769.0
2012,1,9,20,1024890.0
2012,1,9,21,984440.0
2012,1,9,22,924950.0
2012,1,9,23,842503.0
2012,1,10,00,705230.0
2012,1,10,1,545410.0
2012,1,10,2,454136.0
2012,1,10,3,435754.0
2012,1,10,4,418564.0
2012,1,10,5,397738.0
2012,1,10,6,419424.0
2012,1,10,7,489988.0
2012,1,10,8,588199.0
2012,1,10,9,625022.0
2012,1,10,10,755982.0
2012,1,10,11,843942.0
2012,1,10,12,878714.0
2012,1,10,13,889632.0
2012,1,10,14,924939.0
2012,1,10,15,910808.0
2012,1,10,16,928186.0
2012,1,10,17,930658.0
2012,1,10,18,958250.0
2012,1,10,19,1037713.0
2012,1,10,20,1031972.0
2012,1,10,21,986990.0
2012,1,10,22,963104.0
2012,1,10,23,876306.0
2012,1,11,00,707849.0
2012,1,11,1,543899.0
2012,1,11,2,456972.0
2012,1,11,3,441240.0
2012,1,11,4,416011.0
2012,1,11,5,396607.0
2012,1,11,6,414785.0
2012,1,11,7,482841.0
2012,1,11,8,588668.0
2012,1,11,9,630690.0
2012,1,11,10,766224.0
2012,1,11,11,857557.0
2012,1,11,12,874222.0
2012,1,11,13,912549.0
2012,1,11,14,921819.0
2012,1,11,15,916341.0
2012,1,11,16,928416.0
2012,1,11,17,939209.0
2012,1,11,18,967241.0
2012,1,11,19,1033063.0
2012,1,11,20,1027587.0
2012,1,11,21,993478.0
2012,1,11,22,939284.0
2012,1,11,23,846197.0
2012,1,12,00,704841.0
2012,1,12,1,545384.0
2012,1,12,2,456363.0
2012,1,12,3,438033.0
2012,1,12,4,420634.0
2012,1,12,5,401385.0
2012,1,12,6,416117.0
2012,1,12,7,493148.0
2012,1,12,8,587526.0
2012,1,12,9,635189.0
2012,1,12,10,763398.0
2012,1,12,11,851461.0
2012,1,12,12,864209.0
2012,1,12,13,899787.0
2012,1,12,14,912640.0
2012,1,12,15,889765.0
2012,1,12,16,906420.0
2012,1,12,17,919762.0
2012,1,12,18,964545.0
2012,1,12,19,1024356.0
2012,1,12,20,1019164.0
2012,1,12,21,988550.0
2012,1,12,22,9523.0
2012,1,12,23,875606.0
2012,1,13,00,728589.0
2012,1,13,1,547786.0
2012,1,13,2,458545.0
2012,1,13,3,440384.0
2012,1,13,4,422076.0
2012,1,13,5,408959.0
2012,1,13,6,432958.0
2012,1,13,7,499078.0
2012,1,13,8,597694.0
2012,1,13,9,643760.0
2012,1,13,10,770541.0
2012,1,13,11,856837.0
2012,1,13,12,871956.0
2012,1,13,13,969407.0
2012,1,13,14,928718.0
2012,1,13,15,924679.0
2012,1,13,16,928315.0
2012,1,13,17,939279.0
2012,1,13,18,964883.0
2012,1,13,19,1047751.0
2012,1,13,20,1031943.0
2012,1,13,21,978276.0
2012,1,13,22,945118.0
2012,1,13,23,875368.0
2012,1,14,00,758363.0
